iter	Passed	Remaining
398	82645	172747
399	82840	172515
400	83002	172214
401	83196	171981
402	83406	171780
403	83609	171565
404	83826	171378
405	84039	171184
406	84259	171003
407	84453	170769
408	84642	170525
409	84868	170358
410	85090	170181
411	85294	169967
412	85494	169747
413	85688	169514
414	85916	169348
415	86135	169165
416	86318	168911
417	86539	168730
418	86727	168487
419	86922	168256
420	87134	168060
421	87346	167863
422	87554	167656
423	87761	167450
424	87972	167251
425	88195	167074
426	88432	166923
427	88638	166715
428	88883	166578
429	89103	166394
430	89306	166179
431	89532	166008
432	89741	165804
433	89959	165617
434	90198	165467
435	90432	165308
436	90635	165092
437	90841	164882
438	91050	164679
439	91265	164485
440	91483	164296
441	91692	164092
442	91873	163838
443	92077	163624
444	92298	163440
445	92538	163290
446	92754	163097
447	92969	162904
448	93166	162678
449	93396	162510
450	93598	162293
451	93808	162089
452	94027	161902
453	94226	161680
454	94455	161509
455	94674	161320
456	94862	161080
457	95105	160932
458	95312	160722
459	95507	160494
460	95725	160303
461	95957	160136
462	96159	159919
463	96348	159680
464	96574	159502
465	96785	159301
466	96988	159085
467	97213	158906
468	97403	158669
469	97558	158376
470	97768	158172
471	98007	158016
472	98214	157807
473	98414	157587
474	98625	157385
475	98836	157182
476	99053	156990
477	99235	156741
478	99423	156504
479	99612	156266
480	99848	156104
481	100062	155907
482	100226	155631
483	100422	155406
484	100625	155192
485	100871	155043
486	101081	154839
487	101285	154625
488	101486	154408
489	101682	154183
490	101910	154007
491	102104	153779
492	102340	153614
493	102541	153397
494	102770	153221
495	102973	153007
496	103195	152820
497	103397	152604
498	103624	152425
499	103823	152205
500	104056	152035
501	104319	151907
502	104533	151708
503	104716	151465
504	104921	151253
505	105122	151036
506	105351	150857
507	105577	150676
508	105839	150545
509	106053	150346
510	106262	150140
511	106483	149950
512	106687	149737
513	106913	149554
514	107122	149347
515	107359	149180
516	107563	148965
517	107801	148798
518	107999	148577
519	108209	148371
520	108437	148190
521	108641	147976
522	108811	147716
523	109039	147535
524	109252	147335
525	109453	147116
526	109693	146952
527	109929	146781
528	110129	146561
529	110332	146346
530	110555	146158
531	110727	145901
532	110908	145658
533	111145	145488
534	111335	145256
535	111538	145041
536	111762	144854
537	111967	144641
538	112165	144420
539	112371	144209
540	112564	143982
541	112763	143762
542	112950	143528
543	113153	143313
544	113377	143125
545	113571	142900
546	113814	142736
547	114004	142505
548	114200	142282
549	114407	142073
550	114599	141845
551	114796	141624
552	115054	141477
553	115258	141264
554	115469	141060
555	115697	140875
556	115900	140661
557	116093	140435
558	116325	140256
559	116562	140082
560	116794	139903
561	116988	139678
562	117216	139494
563	117437	139300
564	117638	139084
565	117825	138851
566	118037	138647
567	118259	138455
568	118454	138231
569	118648	138006
570	118883	137829
571	119125	137661
572	119306	137420
573	119493	137188
574	119728	137010
575	119939	136805
576	120146	136596
577	120395	136434
578	120595	136217
579	120832	136040
580	121062	135856
581	121299	135680
582	121548	135517
583	121787	135342
584	121995	135133
585	122199	134920
586	122399	134702
587	122628	134515
588	122871	134344
589	123080	134136
590	123269	133906
591	123493	133714
592	123729	133536
593	123930	133319
594	124148	133120
595	124384	132941
596	124587	132726
597	124789	132511
598	125016	132320
599	125203	132089
600	125405	131874
601	125644	131697
602	125827	131461
603	126035	131251
604	126280	131081
605	126509	130893
606	126721	130688
607	126963	130513
608	127160	130292
609	127373	130088
610	127586	129883
611	127809	129688
612	128011	129473
613	128216	129260
614	128408	129035
615	128634	128843
616	128833	128624
617	129033	128406
618	129224	128180
619	129427	127966
620	129619	127740
621	129831	127535
622	130031	127318
623	130256	127125
624	130484	126935
625	130693	126726
626	130937	126552
627	131147	126344
628	131381	126159
629	131585	125946
630	131802	125744
631	132038	125562
632	132269	125374
633	132479	125165
634	132711	124978
635	132940	124788
636	133136	124567
637	133311	124326
638	133531	124127
639	133728	123907
640	133955	123715
641	134151	123494
642	134384	123307
643	134603	123108
644	134817	122903
645	135064	122728
646	135257	122505
647	135444	122276
648	135662	122075
649	135905	121896
650	136139	121709
651	136364	121515
652	136592	121322
653	136830	121139
654	137042	120932
655	137314	120778
656	137513	120560
657	137726	120353
658	137967	120171
659	138196	119979
660	138402	119767
661	138604	119551
662	138821	119348
663	139067	119171
664	139281	118965
665	139467	118735
666	139672	118522
667	139909	118336
668	140130	118136
669	140355	117940
670	140557	117724
671	140735	117489
672	140958	117291
673	141197	117105
674	141407	116896
675	141609	116681
676	141833	116483
677	142090	116313
678	142272	116081
679	142509	115893
680	142739	115700
681	142944	115487
682	143137	115264
683	143359	115064
684	143552	114841
685	143762	114632
686	143981	114430
687	144162	114198
688	144389	114002
689	144610	113802
690	144802	113579
691	145009	113367
692	145254	113184
693	145468	112979
694	145666	112760
695	145847	112529
696	146076	112334
697	146304	112139
698	146542	111951
699	146736	111729
700	146939	111514
701	147143	111300
702	147358	111095
703	147600	110910
704	147799	110692
705	148001	110477
706	148203	110261
707	148382	110029
708	148582	109812
709	148826	109628
710	149058	109435
711	149267	109224
712	149453	108998
713	149686	108805
714	149930	108620
715	150164	108428
716	150385	108226
717	150608	108027
718	150807	107809
719	151029	107608
720	151241	107400
721	151477	107208
722	151702	107010
723	151896	106789
724	152138	106601
725	152369	106406
726	152608	106217
727	152850	106029
728	153088	105839
729	153317	105641
730	153566	105458
731	153782	105252
732	153967	105025
733	154206	104835
734	154420	104627
735	154652	104432
736	154879	104233
737	155094	104026
738	155356	103851
739	155605	103666
740	155838	103471
741	156082	103283
742	156289	103071
743	156542	102888
744	156779	102695
745	157021	102505
746	157232	102295
747	157448	102088
748	157706	101909
749	157917	101698
750	158185	101525
751	158411	101324
752	158643	101127
753	158875	100930
754	159076	100713
755	159258	100484
756	159450	100262
757	159677	100062
758	159912	99866
759	160136	99663
760	160345	99452
761	160573	99251
762	160786	99042
763	160981	98822
764	161154	98588
765	161350	98368
766	161549	98151
767	161773	97948
768	161976	97733
769	162184	97521
770	162411	97320
771	162657	97130
772	162890	96933
773	163138	96744
774	163382	96553
775	163584	96337
776	163812	96136
777	164033	95932
778	164251	95725
779	164429	95495
780	164667	95300
781	164870	95085
782	165104	94887
